stakes,probs,ambigs,stakes_loss,reference,ITIs,colors
5,0.25,0,0,5,5,1
5,0.75,0,0,5,5,1
8,0.75,0,0,5,5,2
8,0.25,0,0,5,5,1
12,0.75,0,0,5,5,1
12,0.25,0,0,5,5,1
25,0.75,0,0,5,5,1
25,0.25,0,0,5,5,2
